192.168.1.106 - - [14/Jun/2018:13:42:43 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
192.168.1.106 - - [14/Jun/2018:13:42:44 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:42:44 +0800] "GET /ssi/settings/settings/settingsMake.do?ctype=auto&cid=d45aeae8-e27f-4ea9-b890-ed7618d90362 HTTP/1.1" 200 6891
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:42:44 +0800] "POST /ssi/settings/settingAuto/datagrid.do HTTP/1.1" 200 47
192.168.1.106 - - [14/Jun/2018:13:42:45 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:42:46 +0800] "GET /ssi/settings/settingAuto/settingAutoAdd.do?_=1528954886412 HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:42:46 +0800] "POST /ssi/question/type/notNeedAuth_combobox.do HTTP/1.1" 200 1743
192.168.1.106 - - [14/Jun/2018:13:42:50 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/mini_refresh.png HTTP/1.1" 200 160
192.168.1.106 - - [14/Jun/2018:13:42:50 +0800] "GET /ssi/score/score/notNeedAuth_score.do HTTP/1.1" 200 4868
192.168.1.106 - - [14/Jun/2018:13:42:51 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/filesave.png HTTP/1.1" 200 898
192.168.1.106 - - [14/Jun/2018:13:42:52 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/pencil.png HTTP/1.1" 200 713
192.168.1.106 - - [14/Jun/2018:13:42:52 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/search.png HTTP/1.1" 200 813
192.168.1.106 - - [14/Jun/2018:13:42:52 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/pagination_icons.png HTTP/1.1" 200 628
192.168.1.6 - - [14/Jun/2018:13:42:52 +0800] "GET /ssi/page/index.do HTTP/1.1" 200 724
192.168.1.6 - - [14/Jun/2018:13:42:52 +0800] "GET /favicon.ico HTTP/1.1" 304 -
192.168.1.106 - - [14/Jun/2018:13:42:52 +0800] "POST /ssi/score/score/notNeedAuth_datagrid.do HTTP/1.1" 200 1356
192.168.1.6 - - [14/Jun/2018:13:42:54 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3472
192.168.1.6 - - [14/Jun/2018:13:42:54 +0800] "GET /ssi/js/jquery-easyui-1.4.5/jquery.min.js HTTP/1.1" 304 -
