127.0.0.1 - - [25/Apr/2018:12:48:43 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:50:58 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/lock.png HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:50:58 +0800] "GET /ssi/img/imgCode.do?random=0.5425737247829844 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:50:58 +0800] "GET /favicon.ico HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:50:59 +0800] "POST /ssi/img/loadImgCode.do HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:08 +0800] "POST /ssi/page/login.do HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:08 +0800] "GET /ssi/page/index.do HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:08 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:08 +0800] "GET /ssi/layout/north.do?_=1524631868828 HTTP/1.1" 200 2900
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:08 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/panel_tools.png HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:08 +0800] "GET /ssi/layout/west.do?_=1524631868829 HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:08 +0800] "GET /ssi/layout/center.do?_=1524631868830 HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:08 +0800] "GET /ssi/layout/south.do?_=1524631868831 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:08 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/theme.png HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:08 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/bullet_blue.png HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:08 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/menu_arrows.png HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:08 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/setting.png HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:09 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/undo.png HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:09 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/redo.png HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:09 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/accordion_arrows.png HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:09 +0800] "POST /ssi/admin/menu/notNeedAuth_menuTree.do HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:09 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:09 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/tree_icons.png HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:11 +0800] "GET /ssi/question/question/question.do HTTP/1.1" 200 10800
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:11 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/mini_refresh.png HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:11 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/pencil.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:11 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/edit_remove.png HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:11 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/edit_add.png HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:11 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/combo_arrow.png HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:11 +0800] "POST /ssi/question/type/notNeedAuth_combobox.do HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:11 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/filesave.png HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:11 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/datagrid_icons.png HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:12 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/filter.png HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:12 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/pagination_icons.png HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:12 +0800] "POST /ssi/question/question/datagrid.do HTTP/1.1" 200 17458
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:13 +0800] "GET /ssi/question/type/type.do HTTP/1.1" 200 7292
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:14 +0800] "POST /ssi/question/type/datagrid.do HTTP/1.1" 200 2505
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:15 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/messager_icons.png HTTP/1.1" 200 6116
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:17 +0800] "GET /ssi/question/type/remove.do?ids=asd%2Cass HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:17 +0800] "POST /ssi/question/type/datagrid.do HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:23 +0800] "GET /ssi/settings/settings/settings.do HTTP/1.1" 200 9006
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:23 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/ok.png HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:23 +0800] "POST /ssi/settings/settings/datagrid.do HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:47 +0800] "GET /ssi/settings/settings/settingsMake.do?ctype=hand&cid=11ea3e7b-a5c8-4e64-863a-25fa30fc6d09 HTTP/1.1" 200 7624
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:47 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/search.png HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:47 +0800] "POST /ssi/question/type/notNeedAuth_combobox.do HTTP/1.1" 200 1743
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:51:48 +0800] "POST /ssi/settings/settingHand/datagrid.do HTTP/1.1" 200 5138
