127.0.0.1 - - [15/May/2019:16:24:29 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/vendors/nprogress/nprogress.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/settings/vendors/iCheck/icheck.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/vendors/nprogress/nprogress.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/settings/vendors/iCheck/skins/flat/green.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/vendors/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/vendors/datatables.net-bs/js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/vendors/datatables.net/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/vendors/datatables.net-buttons/js/buttons.html5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/vendors/datatables.net-buttons/js/dataTables.buttons.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/vendors/datatables.net-buttons/js/buttons.print.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/vendors/datatables.net-buttons/js/buttons.flash.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/vendors/datatables.net-fixedheader/js/dataTables.fixedHeader.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/vendors/datatables.net-buttons-bs/js/buttons.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/vendors/jszip/dist/jszip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/vendors/datatables.net-scroller/js/dataTables.scroller.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/vendors/datatables.net-responsive/js/dataTables.responsive.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/vendors/pdfmake/build/pdfmake.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/vendors/validator/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/vendors/pdfmake/build/vfs_fonts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:04 +0800] "GET /app/vendors/datatables.net-keytable/js/dataTables.keyTable.min.js HTTP/1.1" 304 -
